epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1780.33,0.78401,0.69291,1.28824,0.98929,1,0.995,0.52948,1.28385,1.00424,1.8889,0.0011684,0.0011684,0.0011684
44,1818.99,0.73831,0.65685,1.25749,1,0.78596,0.93786,0.55968,1.23274,1.45636,1.64624,0.0011486,0.0011486,0.0011486
45,1859.81,0.74827,0.68112,1.28723,0.72784,0.6,0.7204,0.40136,1.44679,1.76552,1.81017,0.0011288,0.0011288,0.0011288
46,1899.67,0.64252,0.6153,1.20982,1,0.98569,0.995,0.44619,1.91334,1.17462,2.00398,0.001109,0.001109,0.001109
47,1938.66,0.6805,0.63885,1.20387,0.96396,0.8,0.90611,0.4566,1.51683,1.14229,1.78064,0.0010892,0.0010892,0.0010892
48,1978.53,0.7095,0.62974,1.2222,1,0.93544,0.995,0.65429,1.13592,0.84708,1.41335,0.0010694,0.0010694,0.0010694
49,2015.49,0.71918,0.59871,1.24702,0.97187,1,0.995,0.68382,1.14121,0.79174,1.43485,0.0010496,0.0010496,0.0010496
50,2052.27,0.74339,0.673,1.22659,0.98689,1,0.995,0.719,0.95223,0.69285,1.36818,0.0010298,0.0010298,0.0010298
51,2089.75,0.77324,0.74054,1.28622,0.98912,1,0.995,0.55801,1.44802,0.78445,1.8219,0.00101,0.00101,0.00101
52,2127.05,0.68753,0.60475,1.22677,0.98597,1,0.995,0.58835,1.34505,0.83644,1.63472,0.0009902,0.0009902,0.0009902
53,2166.54,0.68965,0.57385,1.20758,0.98994,1,0.995,0.62359,1.32307,0.75719,1.60479,0.0009704,0.0009704,0.0009704
54,2204.72,0.67949,0.56825,1.23516,0.98919,1,0.995,0.54458,1.45682,0.83122,1.84042,0.0009506,0.0009506,0.0009506
55,2241.72,0.67848,0.61233,1.21797,0.98691,1,0.995,0.51241,1.41562,0.92545,2.09413,0.0009308,0.0009308,0.0009308
56,2277.98,0.71037,0.54459,1.18143,0.98053,1,0.995,0.51504,1.35909,0.82899,1.64467,0.000911,0.000911,0.000911
57,2314.12,0.67504,0.62333,1.26355,0.98377,1,0.995,0.68964,1.02532,0.76301,1.36025,0.0008912,0.0008912,0.0008912
